MealID,MealName,Description
76, Veggie Stir-Fry, Stir-fried vegetables with a sugar-free sauce
77, Bean and Lentil Soup, Soup made with beans and lentils
78, Grilled Shrimp, Grilled shrimp with a side of vegetables with  no dairy
79, Pork and Sweet Potato, Roasted pork with sweet potato fries
80, Rice and Veggie Bowl, Bowl of rice with a variety of vegetables with  no egg
81, Turkey Meatballs, Turkey meatballs with marinara sauce
82, Steamed Fish, Fish steamed with herbs and a side of vegetables
83, Grilled Beef, Beef grilled with spices with  no soy
84, Chicken Skewers, Chicken skewers with a variety of vegetables
85, Roasted Veggie Bowl, Bowl of roasted vegetables with  no dairy
86, Avocado Egg Salad, Salad with avocado with  eggs and mixed greens
87, Turkey Burger, Turkey burger with lettuce and tomato with  no nuts
88, Chickpea Curry, Curry made with chickpeas and a variety of vegetables
89, Mixed Green Salad, Salad with mixed greens with  tomatoes and a light dressing
90, Grilled Steak, Grilled steak with a side of vegetables with  no peanuts
91, Roasted Vegetables, A variety of roasted vegetables with herbs
92, Vegetable Lasagna, Lasagna made with layers of vegetables with  no fish
93, Greek Yogurt Parfait, Greek yogurt layered with fruit and granola
94, Quinoa and Veggie Stir-Fry, Stir-fried quinoa with vegetables with  no gluten
95, Vegan Pad Thai, Pad Thai made with rice noodles and tofu
96, Chicken and Avocado Wrap, Wrap with chicken with  avocado and vegetables
97, Vegetable and Bean Chili, Chili made with vegetables and beans with  no egg
98, Baked Salmon, Salmon baked with a variety of herbs with  no sugar
99, Chicken and Rice Bowl, Bowl of chicken and rice with vegetables with  no soy
100, Beef Stir-Fry, Beef stir-fried with a variety of vegetables
101, Steamed Tofu, Tofu steamed with vegetables
102, Grilled Chicken and Veggies, Grilled chicken served with a side of vegetables with  no dairy
103, Chicken Teriyaki, Grilled chicken with teriyaki sauce and steamed vegetables
104, Lentil Curry, Lentil curry made with coconut milk and spices
105, Baked Chicken Wings, Baked chicken wings with a side of celery sticks
106, Chicken Caesar Salad, Chicken Caesar salad without nuts
107, Grilled Zucchini, Grilled zucchini with olive oil and herbs
108, Beef Stew, Slow-cooked beef stew with vegetables
109, Vegetable Stir-Fry, Stir-fried vegetables with soy sauce
110, Rice Noodles, Rice noodles with vegetables and tofu
111, Black Bean Soup, Black bean soup with vegetables
112, Vegan Pancakes, Pancakes made with almond flour with  no eggs
113, Cheese Omelette, Cheese omelette with spinach and mushrooms
114, Grilled Lamb Chops, Grilled lamb chops with a side of vegetables
115, Coconut Smoothie, Smoothie made with coconut milk and fruits
116, Organic Beef Burger, Beef burger with organic lettuce and tomato
117, Chickpea Salad, Salad made with chickpeas and vegetables
118, Grilled Pork Chops, Pork chops grilled with herbs with  no soy
119, Steamed Asparagus, Steamed asparagus with lemon
120, Chicken Breast, Grilled chicken breast with a side of vegetables
121, Grilled Shrimp, Grilled shrimp with a side of steamed vegetables
122, Turkey Sandwich, Turkey sandwich with lettuce and tomato with  no nuts
123, Chickpea Curry, Curry made with chickpeas and spices
124, Grilled Steak, Grilled steak with a side of vegetables
125, Vegetable Soup, Vegetable soup with no dairy
126, Quinoa Salad, Quinoa salad with vegetables and lemon dressing
127, Cornbread, Cornbread made with cornmeal with  no wheat
128, Turmeric Rice, Rice cooked with turmeric and spices
129, Grilled Eggplant, Grilled eggplant with olive oil and herbs
130, Tomato Basil Soup, Tomato basil soup with no dairy
131, Baked Cod, Baked cod with lemon and herbs with  no sugar
132, Zucchini Lasagna, Lasagna made with zucchini slices
133, Fruit Salad, Fresh fruit salad with  no nuts
134, Avocado Salad, Avocado salad with mixed greens and bacon
135, Coconut Curry, Curry made with coconut milk and vegetables
136, Chicken Stir-Fry, Chicken stir-fried with vegetables with  no soy
137, Baked Salmon, Salmon baked with herbs and a side of vegetables
138, Rice and Veggie Bowl, Rice bowl with vegetables and grilled chicken
139, Lentil Stew, Stew made with lentils and vegetables
140, Chicken Wrap, Chicken wrap with lettuce and tomato with  no eggs
141, Chicken and Veggies, Grilled chicken with a side of vegetables
142, Shrimp Skewers, Shrimp skewers with a side of vegetables with  no dairy
143, Veggie Pizza, Pizza with a variety of vegetables
144, Veggie Tacos, Tacos with vegetables and no nuts
145, Grilled Chicken, Grilled chicken with herbs with  no sugar
146, Beef Stir-Fry, Stir-fried beef with vegetables
147, Lemon Chicken, Chicken cooked with lemon and herbs with  no soy
148, Baked Fish, Fish baked with herbs and a side of vegetables
149, Grilled Tofu, Tofu grilled with vegetables with  no dairy
150, Turkey Meatballs, Turkey meatballs with marinara sauce
151, Veggie Wrap, A wrap filled with fresh vegetables and hummus
152, Lentil Burger, A vegan burger made from lentils and spices
153, Chicken Salad, Grilled chicken served over mixed greens with  no dairy
154, Quinoa Bowl, A bowl of quinoa with vegetables and herbs
155, Beef Kabobs, Grilled beef kabobs with vegetables
156, Chicken Caesar Salad, Caesar salad with grilled chicken with no croutons
157, Turkey Sandwich, Turkey sandwich with lettuce and tomato with  no nuts
158, Eggplant Parmesan, Baked eggplant with marinara sauce and cheese
159, Chicken Fajitas, Chicken fajitas with peppers and onions with  no shellfish
160, Coconut Shrimp, Coconut shrimp with a side of vegetables
161, Zucchini Noodles, Zucchini noodles with marinara sauce
162, Grilled Beef, Beef grilled with spices with  no soy
163, Baked Fish, Fish baked with herbs and a side of vegetables
164, Tomato Soup, Tomato soup with no dairy
165, Chicken Skewers, Grilled chicken skewers with vegetables
166, Steamed Tofu, Tofu steamed with vegetables
167, Rice Pasta, Pasta made with rice flour and vegetables
168, Roasted Chicken, Roasted chicken with a side of vegetables
169, Grilled Salmon, Grilled salmon with no nuts
170, Vegetable Curry, Curry made with a variety of vegetables
171, Turkey Meatloaf, Meatloaf made with ground turkey and vegetables
172, Vegetable Stir-Fry, Stir-fried vegetables with no dairy
173, Hummus Plate, Hummus served with fresh vegetables for dipping
174, Vegetable Soup, Soup made with a variety of vegetables with no eggs
175, Baked Chicken, Chicken baked with herbs and no sugar
176, Black Bean Chili, Chili made with black beans and vegetables
177, Lemon Chicken, Chicken cooked with lemon and herbs with  no soy
178, Mixed Grill, A combination of grilled meats and vegetables
179, Corn Tortilla Tacos, Tacos with corn tortillas with no  lettuce and tomato
180, Turmeric Rice, Rice cooked with turmeric and vegetables
181, Vegetable Stir-Fry, Stir-fried vegetables with no dairy
182, Organic Chicken Breast, Grilled organic chicken breast with vegetables
183, Turkey and Veggie Wrap, Wrap with turkey and vegetables with  no nuts
184, Zucchini Fries, Baked zucchini fries with a light dip
185, Grilled Steak, Steak grilled with herbs and no sugar
186, Beef Stir-Fry, Stir-fried beef with vegetables with  no shellfish
187, Steamed Fish, Fish steamed with herbs and a side of vegetables
188, Grilled Tofu, Tofu grilled with vegetables with  no soy
189, Baked Sweet Potatoes, Sweet potatoes baked with herbs
190, Quinoa Salad, Salad made with quinoa and vegetables with  no gluten
191, Lentil Soup, Soup made with lentils and vegetables
192, Fruit Salad, Fresh fruit salad with no nuts
193, Bacon and Eggs, Classic breakfast with bacon and eggs
194, Chicken and Veggies, Grilled chicken with a side of steamed vegetables
195, Vegetable Pasta, Pasta with a variety of vegetables with  no eggs
196, Beef Tacos, Beef tacos with lettuce with no tomato and cheese
197, Chicken Stir-Fry, Stir-fried chicken with vegetables with  no dairy
198, Avocado Salad, Salad with avocado with no mixed greens and lemon dressing
199, Chicken Teriyaki, Chicken with a teriyaki glaze with  no soy
200, Tofu Salad, Salad made with tofu and vegetables
